From,To,AvgDelay,Distance
LAX,MIA,36,3345
JFK,MCO,140,758
SEA,MIA,102,2385
MSY,LAS,34,2604
PDX,LAS,56,4543
CVG,OAK,168,762
CLE,SFO,41,306
IAH,BOS,46,424
ORD,CVG,53,2581
IAH,RDU,100,2290
HNL,MKE,50,3425
IND,JFK,105,2546
STL,MKE,89,4738
MCO,DEN,92,3526
HNL,FLL,136,406
DCA,MIA,111,4951
RDU,SMF,106,263
FLL,ORD,125,2275
LAX,SEA,116,2902
TPA,CMH,96,978
AUS,LAX,82,1791
TPA,PHX,121,2469
SLC,SEA,140,4482
IAH,MSP,95,1929
CLT,SMF,25,1775
SMF,MSP,178,3965
PHX,MIA,156,788
JFK,DFW,99,797
SLC,IAH,31,768
CLT,ATL,151,2913
RDU,JFK,154,643
LAX,PHX,47,2916
AUS,MSY,95,3704
SEA,DFW,137,2619
DTW,BOS,158,2017
MSY,IAH,82,3860
PHX,MSP,95,2611
SMF,BWI,143,1836
ATL,MDW,139,4889
CLT,DCA,35,4428
PIT,ATL,172,1642
CVG,HNL,61,2424
CLE,PIT,14,2520
SFO,PHL,106,4757
IND,ATL,109,2760
BWI,MSP,71,4912
MSY,DFW,53,4335
MCO,JFK,19,2734
ATL,JFK,7,3252
SMF,STL,9,4396
MSY,OAK,56,4591
SEA,PHX,63,4546
MKE,PDX,68,1703
MSP,LAS,42,4679
MKE,PIT,71,2095
MKE,PDX,79,519
JFK,CLT,160,511
LAS,FLL,41,1856
SLC,FLL,148,1677
BOS,MSP,29,2943
MSP,DEN,115,1799
OAK,IAH,119,1172
SJC,MCO,113,4868
MCO,SEA,73,3124
SFO,STL,52,389
DCA,RDU,114,709
AUS,ORD,115,1241
SLC,CLE,106,4124
CLE,SAN,33,3203
PIT,DEN,176,2485
DCA,ATL,14,3509
STL,PIT,168,4329
DFW,SJC,139,4050
DTW,DFW,69,1469
DEN,TPA,115,1236
CMH,SAN,35,1170
SEA,MKE,9,3791
JFK,DFW,6,4836
ORD,DFW,70,1968
LAX,SAN,31,4859
IAH,CLE,46,4015
SFO,DEN,103,3680
HNL,PIT,123,3223
MSY,HNL,36,1901
BOS,FLL,48,1469
ORD,SFO,177,4153
MIA,OAK,39,2249
ATL,AUS,52,3883
SLC,ATL,48,4030
DFW,PHX,156,2947
ORD,SLC,44,1465
CLT,MSP,58,1366
BOS,DTW,81,4418
MIA,IND,37,910
PHL,PIT,102,3908
PHX,DEN,83,4874
AUS,IAH,151,461
IAH,JFK,34,3211
BWI,SJC,83,2558
RDU,PIT,63,4263
BWI,MDW,124,690
SAN,DFW,34,830
PHL,MDW,27,2661
CLE,DEN,172,822
DEN,FLL,33,3726
DFW,DEN,60,584
SLC,MDW,170,425
DFW,PDX,74,1895
CLT,BWI,87,785
MDW,DEN,126,589
ATL,SMF,76,2794
SJC,DTW,108,4934
SMF,PHL,105,4426
SLC,MSY,94,1766
CMH,RDU,107,3431
MDW,PHL,52,4135
ORD,MSP,101,3147
IND,BWI,104,3444
LAS,SLC,46,3177
PHX,OAK,46,1088
FLL,CLT,69,2044
SMF,CLT,54,2613
LAX,IND,98,144
AUS,ORD,127,2105
ORD,CLE,65,4732
ATL,BWI,130,2549
CVG,FLL,14,3826
CMH,LAS,95,4355
FLL,MKE,98,1532
BOS,FLL,179,1442
LAS,STL,56,3008
MSP,JFK,9,429
ORD,RDU,155,2576
SMF,PDX,157,1019
MSY,BWI,132,2982
CLT,STL,165,2607
SEA,SJC,89,3730
FLL,MIA,59,461
SMF,SJC,174,4210
SEA,SMF,124,4236
SJC,MSY,72,1102
BOS,TPA,115,1265
IND,MSP,99,4570
ATL,MSP,147,3184
MCO,PHX,162,1844
ORD,MKE,136,4563
MSY,PHL,178,3712
PDX,DTW,100,908
FLL,PHX,168,3358
CVG,ATL,47,4709
ORD,SAN,80,3583
LAS,MSP,33,960
DEN,CMH,23,1522
STL,PHX,146,851
DEN,RDU,60,2288
DFW,FLL,113,4142
MDW,IAH,157,3842
CVG,SFO,120,265
MKE,MIA,97,1666
AUS,SMF,154,2645
SLC,SEA,27,2303
CMH,OAK,113,220
PHL,SLC,70,2316
CLE,MSP,76,1465
PHX,SLC,103,188
MIA,PIT,132,199
PDX,ORD,124,3512
ORD,RDU,101,4107
SJC,SAN,116,157
JFK,SMF,86,851
DTW,PHL,52,4858
IAH,DFW,178,187
RDU,SAN,12,3168
SFO,LAX,92,1688
SFO,MIA,104,3653
LAX,FLL,58,1578
STL,SJC,39,1611
IAH,SJC,124,1938
SAN,ORD,34,4358
MKE,PHX,118,2384
IND,HNL,122,987
BOS,SFO,102,3588
PIT,IND,144,3875
MDW,MSP,151,2885
MKE,PHX,136,1820
OAK,JFK,51,4458
SLC,IND,153,1182
SMF,MIA,117,3930
BWI,DCA,98,4746
TPA,SEA,123,3972
LAS,CLE,102,1837
DCA,JFK,44,1696
OAK,SFO,175,2406
MSP,BWI,177,1435
MSP,CLT,143,1035
STL,CLT,124,926
MCO,PIT,29,884
ATL,CLT,167,1782
SMF,CLE,104,3986
STL,DTW,140,2398
BOS,MCO,174,567
MCO,DCA,132,2251
SMF,MSY,170,216
RDU,DEN,178,4885
SEA,LAS,29,1255
HNL,DCA,136,3138
MCO,DCA,166,1127
MDW,BOS,40,1334
SAN,SFO,128,2263
CVG,MIA,65,970
BOS,MDW,101,347
DEN,CVG,91,2453
SAN,STL,16,1222
PHX,HNL,178,2446
CLT,CLE,18,4098
DFW,DEN,17,3213
IAH,MSP,10,711
RDU,SMF,69,2211
MIA,STL,145,3532
DFW,IND,6,4677
CMH,SMF,89,624
HNL,CLE,26,4826
SLC,FLL,121,1067
PDX,SAN,58,2132
HNL,BWI,150,2290
DCA,CVG,48,1847
MSY,MCO,101,196
SLC,SEA,81,1634
IND,DEN,175,3272
CMH,SMF,103,4020
SEA,SJC,40,1485
MSY,DEN,44,3709
MSY,MCO,119,438
SEA,MSP,91,553
FLL,CLT,44,761
DFW,CLE,173,2313
HNL,RDU,166,3313
OAK,MSP,56,2561
TPA,MDW,72,1885
STL,LAS,10,2271
TPA,BOS,121,2632
IAH,PIT,142,4807
JFK,ATL,18,1724
IND,PHL,105,4124
ORD,OAK,71,3698
SFO,DTW,31,3073
SJC,SLC,45,3448
HNL,SFO,113,4408
ATL,IAH,163,4338
CVG,CMH,51,1072
IND,ATL,65,4664
CMH,STL,108,2444
DCA,RDU,39,4547
MSY,STL,8,2246
IND,LAS,6,2910
SFO,ATL,9,4090
CMH,MSY,162,3004
MSP,CMH,163,4250
SFO,IND,115,2758
DCA,HNL,102,691
DTW,MIA,44,3085
CLT,IAH,148,1400
PHL,TPA,59,1519
BOS,SAN,89,556
BWI,SFO,80,3399
PIT,PDX,174,452
MCO,PHL,177,1266
FLL,STL,134,3348
JFK,OAK,6,2717
ATL,SEA,165,1490
RDU,DFW,162,2356
SFO,MKE,76,1173
SLC,OAK,34,168
MKE,SLC,22,1474
SEA,CLE,171,4949
SEA,PIT,8,2367
BWI,CMH,97,1423
SFO,BOS,139,1132
ORD,HNL,65,691
TPA,CLE,68,2272
IAH,AUS,138,2480
DFW,CMH,158,3062
JFK,PIT,95,2591
CLE,MSP,143,1848
PHX,MIA,83,4235
CLE,ORD,76,4193
DEN,IND,76,3948
MDW,MSY,154,2847
JFK,DEN,61,1002
CVG,ATL,47,2735
CLT,JFK,86,4790
CLE,CVG,86,2263
CVG,RDU,53,4439
PIT,ORD,8,887
BWI,IND,151,4850
FLL,OAK,86,706
IND,DTW,28,1137
DTW,HNL,34,2929
MKE,IAH,137,3585
SEA,ORD,119,4623
DFW,JFK,170,3393
LAS,BOS,80,2009
LAX,CLE,12,4922
DTW,BWI,141,2210
DFW,PHL,83,155
FLL,PHX,41,1002
HNL,RDU,81,1000
IAH,FLL,32,2618
ATL,RDU,34,1569
CLE,SMF,169,3124
SLC,ORD,123,4697
BWI,DTW,180,3230
CLE,FLL,99,726
MSP,HNL,109,4590
SAN,DCA,122,2016
AUS,BOS,65,2052
SLC,PDX,124,3509
IND,PIT,97,2611
CMH,DFW,122,4303
DEN,FLL,106,2096
DTW,SAN,7,4282
LAX,SJC,39,2688
BWI,MCO,57,1796
MSP,FLL,37,472
OAK,DEN,119,1680
SEA,BOS,51,3889
SJC,DFW,6,397
DCA,STL,176,4420
SFO,DFW,27,4848
PDX,ATL,83,4001
OAK,MSP,101,4797
SEA,MSP,97,2210
MIA,ORD,148,4657
MCO,CLE,137,561
OAK,DTW,131,2529
LAX,PHL,134,4815
SLC,ATL,171,4272
TPA,MCO,44,3493
CMH,BWI,150,3578
SMF,PHX,78,4591
MKE,DEN,161,1962
MSP,PHX,144,577
MKE,SEA,140,2917
LAX,MCO,176,4546
MDW,FLL,93,2897
TPA,DCA,167,4523
IAH,MCO,32,3229
DFW,IAH,144,1608
DFW,MIA,99,2264
DTW,MKE,112,2311
MDW,DFW,107,4507
DTW,SJC,115,3266
HNL,SEA,162,2577
SLC,MSP,102,712
HNL,CLT,175,3417
MIA,MKE,100,3953
SAN,DTW,130,2225
DCA,IND,104,3179
RDU,SFO,21,3219
CMH,TPA,146,4226
BWI,CMH,60,1049
CVG,IAH,154,4241
RDU,SAN,138,1870
RDU,TPA,26,1486
MSY,SLC,70,3492
JFK,PHX,171,732
SFO,PIT,79,2811
MKE,HNL,144,4744
ATL,PHL,26,2038
DFW,CLT,23,3401
CLE,SFO,64,473
BWI,IND,129,2143
MKE,JFK,35,1028
ORD,ATL,164,1332
OAK,MKE,157,4525
PHL,LAX,15,4574
MIA,ORD,38,529
SMF,TPA,28,1555
TPA,ATL,13,3573
SEA,RDU,71,2281
STL,PHX,65,4546
SMF,CLT,112,817
DEN,IND,155,2023
HNL,SFO,148,241
ATL,SFO,145,4370
PHL,SMF,115,4516
MKE,CMH,110,2936
PIT,CMH,55,4114
PHL,MSY,117,1000
DFW,LAS,131,1975
JFK,IND,176,4902
SFO,AUS,69,3424
LAX,TPA,93,3698
SAN,MCO,130,4916
ORD,MKE,22,2137
CLE,MIA,58,2666
DFW,JFK,7,3223
OAK,CLT,172,2847
OAK,IND,109,1025
ATL,FLL,28,3332
MKE,IND,79,2302
PDX,MKE,119,2215
PHL,CLE,146,3690
MSY,MCO,175,4491
CMH,ORD,50,3402
OAK,FLL,50,1751
SFO,DFW,77,2853
ATL,SMF,148,1495
JFK,MKE,172,416
IAH,PHX,47,119
BWI,SFO,173,4202
CMH,IND,112,3046
SFO,MSY,11,3241
DFW,MSY,132,1429
SMF,SLC,38,4653
SFO,RDU,125,3668
AUS,RDU,83,3072
AUS,PHL,117,218
IAH,SEA,40,3508
CMH,STL,31,1445
AUS,SEA,35,972
MKE,SAN,115,2680
SJC,IAH,135,2132
SMF,LAX,97,3335
CVG,CLT,104,627
SFO,PIT,60,636
DFW,LAS,120,147
MKE,CLE,141,968
DCA,MIA,58,1374
JFK,OAK,20,2453
SLC,HNL,70,3222
SLC,DTW,74,1297
SJC,RDU,68,4596
DFW,BWI,67,4991
MKE,DFW,20,4569
JFK,DEN,60,4799
IND,SAN,145,2103
IND,SFO,144,3393
PHL,SLC,48,1044
LAX,MDW,76,4054
LAS,DFW,118,1180
SJC,MKE,110,2082
DFW,MSY,121,823
PDX,FLL,24,4194
MKE,DEN,170,2061
FLL,DFW,131,3329
PHL,DCA,93,4284
DCA,SAN,48,1594
ORD,AUS,43,3008
PDX,DCA,169,2939
DEN,OAK,121,2002
LAS,SFO,138,3705
DEN,SMF,18,3494
JFK,PHX,126,2992
LAS,ATL,30,1464
ORD,IND,23,3406
MSY,IND,34,933
MKE,FLL,40,1836
FLL,RDU,86,4983
PDX,TPA,69,3734
SJC,JFK,32,1168
MSP,SMF,132,4185
SEA,LAS,32,3153
OAK,MIA,84,3874
PIT,CLT,56,3526
ATL,RDU,177,2055
ATL,OAK,148,2898
BWI,SLC,66,2341
IAH,SLC,68,3088
IND,ATL,9,613
LAX,SJC,85,3477
LAS,MIA,136,2053
OAK,DCA,17,1351
BWI,PHL,161,2930
MCO,SLC,87,3400
MIA,DTW,72,2095
MSP,CLE,137,1452
SAN,CMH,87,1983
DCA,SJC,11,3453
CLT,ORD,71,1271
LAS,DEN,100,3314
MKE,DEN,96,3257
CLT,MSY,92,583
CMH,MIA,178,428
CVG,SFO,140,4283
MDW,PDX,89,1444
CVG,FLL,95,2094
TPA,PHX,60,3886
DEN,ORD,133,4500
PDX,PIT,66,4890
MIA,FLL,134,463
RDU,FLL,164,3974
OAK,SEA,43,2298
IND,LAX,75,3987
ATL,MIA,107,719
TPA,CVG,84,2624
MCO,RDU,56,2667
SMF,MSY,125,4876
RDU,STL,66,4675
ATL,DFW,91,4570
TPA,SAN,110,2290
DEN,SMF,100,1485
SLC,SAN,151,2920
ATL,MSY,149,1195
DTW,JFK,59,1667
MSY,MSP,161,4983
MDW,LAX,56,3118
CVG,IAH,102,4099
DTW,ATL,106,1791
MSP,LAX,135,4533
MIA,SLC,28,2722
AUS,LAX,44,2480
MCO,BWI,19,1116
TPA,MDW,144,3419
PHL,ATL,140,2075
MSY,FLL,80,3425
STL,TPA,65,2568
AUS,HNL,81,4964
LAX,SMF,42,2172
RDU,MKE,165,2298
CMH,SEA,119,966
IND,PDX,21,650
MIA,MSY,178,3156
MSY,IND,118,4613
MSY,PHX,44,3401
STL,AUS,118,4428
DTW,DCA,156,1745
SLC,STL,28,2058
STL,MIA,78,2015
SAN,MCO,84,387
CMH,PHL,119,4242
CLE,MSY,106,100
SFO,IND,15,2032
AUS,HNL,81,1284
DTW,MCO,113,219
SLC,OAK,47,4526
ORD,PDX,94,1360
MCO,OAK,45,3244
DEN,DFW,64,858
MSP,ORD,118,2269
SJC,CLE,149,956
SLC,LAS,125,2477
MCO,MKE,157,1422
PHL,MSY,20,2595
IND,OAK,26,1120
ATL,MSP,111,2635
CVG,SMF,28,1278
DTW,SEA,138,1708
PIT,PHL,39,1131
MCO,DEN,68,2763
PIT,CLT,136,2208
SMF,BOS,37,4332
PIT,ORD,147,517
MKE,ORD,171,749
PDX,HNL,83,2156
SMF,ORD,89,4397
HNL,SLC,160,1506
MKE,PHL,86,2779
ORD,ATL,57,1791
CLE,STL,113,3974
IAH,SEA,97,697
MSY,PDX,152,3036
BOS,SLC,144,4280
DTW,MSP,111,1377
TPA,SAN,170,3123
PHL,AUS,63,664
ATL,DEN,155,4668
DTW,SMF,25,4671
RDU,SLC,163,3521
STL,MCO,50,4290
HNL,DCA,68,2478
STL,SJC,115,2304
AUS,CLE,80,4177
TPA,CLT,65,4264
OAK,LAS,87,1061
FLL,HNL,140,1017
IAH,LAS,130,4383
DTW,IND,118,845
JFK,FLL,91,3003
SAN,OAK,168,2917
LAX,CLT,110,4529
HNL,MKE,176,662
MKE,CLE,13,1388
MKE,LAX,171,3131
MSP,MIA,93,1931
SMF,DCA,148,1576
JFK,DFW,132,2205
DCA,SEA,67,1356
SFO,MCO,127,701
SMF,SEA,87,317
SLC,PHX,12,2722
MIA,CVG,134,1583
DCA,DEN,131,3815
DFW,HNL,90,2473
ATL,MIA,41,1555
JFK,CVG,73,1559
DCA,DTW,47,2392
JFK,MDW,35,1517
DEN,ORD,118,3476
MKE,SMF,64,3794
MDW,LAX,46,196
PHL,PIT,95,1246
STL,MSY,132,4046
PDX,SAN,114,1461
DEN,LAX,105,210
JFK,BOS,151,4808
PIT,RDU,119,3391
STL,DTW,176,3983
PDX,BWI,50,3358
DFW,LAS,68,3317
MCO,BWI,103,4974
MCO,CMH,29,1475
MSP,SJC,56,4468
IND,ATL,59,4519
BOS,SFO,152,1579
ATL,SMF,19,2296
FLL,MSY,160,904
MSP,CMH,114,3608
SLC,LAS,68,139
AUS,MCO,41,913
IAH,LAS,65,112
SFO,CMH,100,2508
BOS,PHL,104,2346
SEA,DFW,59,2594
IAH,SJC,90,2800
SJC,CMH,164,4153
MIA,AUS,126,646
PIT,RDU,111,1631
SFO,STL,6,3046
PHX,MSY,136,1660
SJC,IAH,179,215
IAH,MCO,99,778
DFW,DTW,171,4748
SEA,HNL,48,1029
FLL,PDX,44,111
DTW,PHL,64,3355
SLC,DEN,98,2294
DEN,MIA,15,3327
MCO,TPA,39,3987
SJC,CVG,122,2143
DCA,DFW,33,3807
OAK,SAN,64,162
SMF,DEN,86,1285
PHL,STL,42,4500
ORD,ATL,149,4423
STL,SMF,109,1652
DFW,CLT,32,2890
IAH,RDU,120,4428
SMF,ORD,151,3441
DFW,PIT,73,3184
MSP,LAS,164,3923
CMH,CLT,131,760
PHX,STL,106,2114
SLC,CLT,121,3285
BOS,MKE,38,1294
IND,MKE,11,4055
SLC,STL,171,4724
SJC,MSY,62,3470
TPA,MKE,24,4555
MSP,BOS,127,2932
PHL,DEN,49,918
PDX,DCA,168,911
OAK,LAS,99,2895
SLC,DEN,28,3668
MIA,MDW,10,4879
MSP,BWI,172,3685
MKE,PIT,96,2363
PDX,BOS,9,2315
MDW,PIT,37,3621
SEA,OAK,148,1772
SJC,IAH,26,1145
IAH,SMF,122,1885
SAN,TPA,138,4846
PHL,MSY,31,3632
DTW,OAK,55,546
STL,MCO,113,2838
PHL,BOS,129,4710
MIA,FLL,179,3402
MIA,SLC,134,1622
FLL,MSP,7,4863
CMH,HNL,178,5000
CLE,MKE,162,3283
PHL,ORD,123,2099
STL,PHX,55,1364
BOS,HNL,173,750
DFW,SLC,167,4846
HNL,LAX,166,503
DCA,AUS,7,4541
STL,PDX,118,136
SLC,FLL,101,4727
SEA,AUS,20,770
MCO,TPA,16,3846
SEA,RDU,25,3672
HNL,PIT,135,464
MSP,BOS,162,265
SLC,BWI,87,3630
MSY,SJC,42,2966
OAK,JFK,119,1056
SFO,CVG,112,4353
CMH,STL,158,3492
OAK,HNL,50,2149
ORD,LAX,111,102
DCA,MSY,18,107
DEN,SFO,97,1285
PHL,CLT,155,3064
MSP,DEN,39,4119
OAK,IAH,178,4215
PHL,BWI,68,1657
PHX,SJC,154,1354
DFW,JFK,140,3438
MDW,FLL,90,737
MSY,STL,167,1421
SLC,CLE,77,3092
CLT,ORD,6,723
LAX,LAS,59,1770
TPA,MDW,129,3598
RDU,STL,135,2174
CVG,DEN,38,4296
MDW,TPA,144,265
JFK,MSP,97,1080
IND,DTW,122,3588
ORD,ATL,12,914
BWI,AUS,137,1929
DEN,HNL,125,129
BWI,OAK,173,2762
IAH,MIA,155,3656
SFO,DEN,158,296
MCO,IND,77,4169
MSP,LAS,72,2316
BWI,SJC,48,2124
AUS,HNL,153,2794
PIT,MCO,58,1955
IAH,MKE,22,3819
DCA,ORD,29,556
DEN,BOS,119,4287
SJC,BOS,162,4167
MCO,IAH,87,2884
MSY,TPA,93,2454
PIT,MDW,124,1306
SLC,STL,24,3450
MSP,DCA,40,851
CLE,MIA,27,3543
HNL,MKE,157,799
ORD,RDU,106,2069
MDW,IND,147,4110
CLT,MSY,55,4678
LAX,DFW,106,1922
PIT,DTW,135,265
PDX,PHX,59,758
SFO,MKE,10,864
JFK,BOS,33,1245
SMF,LAX,85,657
MIA,CLT,146,4812
CVG,PDX,22,4803
IAH,STL,74,4402
MDW,BWI,12,3766
SAN,TPA,106,2332
PIT,PHL,171,2342
SJC,LAX,124,4135
CLE,HNL,65,3469
MCO,SMF,23,3381
BOS,ORD,136,4883
ORD,FLL,72,3888
CMH,PHL,160,1056
JFK,SFO,157,393
OAK,CLT,168,2539
ATL,ORD,62,4074
HNL,PDX,17,459
SEA,OAK,124,1464
SLC,PHL,68,4319
MSP,HNL,132,1796
MCO,TPA,117,1223
CLE,MIA,59,2638
DEN,CLT,12,937
MKE,FLL,43,1316
CVG,STL,104,968
CLT,RDU,160,2914
LAX,CLE,171,1461
PIT,SEA,59,3127
TPA,MCO,145,2956
LAX,PDX,168,3578
DFW,AUS,175,372
JFK,FLL,118,2480
HNL,OAK,15,1257
DFW,CMH,132,3639
HNL,CVG,81,757
AUS,MDW,144,4280
DTW,PHL,10,1574
SEA,ORD,46,2050
CMH,HNL,52,2225
RDU,AUS,142,3183
RDU,PDX,118,2949
MSP,IND,68,3226
AUS,DTW,56,124
IAH,RDU,109,1645
SLC,MCO,52,1127
AUS,CLT,65,3416
MSP,PHL,158,3320
TPA,PHX,133,571
MKE,IAH,52,1859
ORD,SMF,65,2143
BWI,SAN,107,3241
ORD,MIA,25,2353
SJC,CVG,50,1508
DEN,MCO,33,3695
OAK,CLE,169,4264
HNL,CLE,141,4679
MSY,MKE,90,1416
PHL,SEA,92,3567
IND,FLL,140,4013
PHX,STL,132,4320
HNL,MSY,159,2626
RDU,SMF,94,655
SJC,DTW,98,1723
LAS,DTW,122,1699
SEA,DEN,39,998
CLE,BOS,170,2851
ATL,LAS,93,4235
SJC,MKE,141,1287
RDU,CVG,73,3349
TPA,CVG,24,720
HNL,DCA,172,1313
PDX,SAN,109,2523
SEA,TPA,172,3201
ATL,MSP,39,3362
DFW,JFK,165,3380
TPA,CMH,174,4421
LAS,STL,104,1812
HNL,MKE,119,2462
MIA,SAN,106,546
BOS,ATL,62,371
MCO,IAH,78,2323
PHL,MSP,151,217
BWI,SMF,48,4525
RDU,AUS,88,1738
MCO,JFK,6,4185
SFO,OAK,97,2667
MIA,SLC,51,3996
OAK,SLC,89,3711
PDX,AUS,167,282
MKE,OAK,10,2238
PHX,SEA,134,1024
PDX,LAS,95,4389
DTW,ORD,140,3600
MSY,PHX,30,2544
IND,JFK,108,4336
ATL,BWI,132,372
FLL,DCA,76,1590
HNL,PDX,171,2657
PIT,ORD,172,3491
CLE,PDX,107,3861
MCO,LAX,28,2729
MKE,LAS,95,3060
AUS,MDW,86,564
FLL,MKE,56,1649
MKE,CMH,140,2619
STL,LAX,133,731
LAS,RDU,68,1915
BOS,LAS,106,1909
SFO,SMF,55,2211
MIA,SFO,151,2597
ORD,DEN,109,3049
MSP,ATL,179,1933
DEN,PHL,6,1439
OAK,BWI,95,731
PHX,MDW,15,3037
MDW,SMF,115,194
AUS,DFW,91,1541
OAK,CLT,44,2159
MSY,MCO,88,2589
SAN,MSP,23,3215
SFO,ATL,84,3499
TPA,LAX,36,3555
IAH,CVG,153,4513
SJC,LAS,7,4188
CVG,DTW,137,4384
ATL,MSY,127,1155
IAH,SJC,10,522
HNL,DTW,107,3357
DTW,ATL,156,1812
CLE,PDX,168,3249
RDU,CVG,74,3702
SJC,DTW,150,2863
CMH,IND,98,1302
AUS,SJC,111,1703
CMH,HNL,173,1938
PHL,CMH,135,3761
MSP,CMH,36,1849
JFK,SFO,174,4605
MCO,HNL,100,4700
DCA,MKE,117,2344
LAX,RDU,167,2124
FLL,CVG,129,4889
LAS,ORD,89,3702
MSP,MCO,35,4214
SFO,SMF,140,4884
IND,DTW,61,3108
STL,SEA,96,3981
CLT,DTW,55,2725
AUS,SEA,8,723
OAK,AUS,34,584
PDX,PHL,159,625
SJC,PHX,125,2698
FLL,SLC,33,4645
DEN,MCO,47,2652
OAK,MCO,164,2510
SJC,DCA,169,4875
CVG,BWI,49,2803
MDW,STL,82,3386
AUS,PIT,156,3624
CLT,DTW,23,4499
DTW,CLT,20,546
DTW,BWI,152,3066
OAK,MSP,62,3358
BOS,OAK,10,1604
IAH,AUS,156,4964
STL,MSP,103,4429
PHL,MKE,150,2936
DTW,MSP,65,2128
PIT,MCO,150,583
SJC,PIT,10,909
LAX,IAH,24,656
DCA,CVG,54,2689
IAH,MSP,169,1578
AUS,IND,170,409
IND,CLT,162,3871
DEN,TPA,138,1289
PHX,LAX,142,3531
SJC,STL,63,2488
CMH,OAK,56,1240
BWI,DTW,76,1178
MSY,IAH,28,3997
SJC,PHX,74,2214
SJC,BWI,168,1492
IAH,IND,88,812
SAN,LAS,142,119
IND,MIA,126,2097
MCO,JFK,26,182
PIT,DEN,24,2937
PIT,DEN,148,4102
HNL,IND,150,4380
OAK,PHX,8,2281
STL,ATL,90,3333
IND,SLC,76,3327
DTW,MCO,148,989
STL,SAN,34,165
CVG,CMH,80,1646
STL,SMF,82,133
ORD,CLE,139,2370
RDU,DEN,84,2591
MSY,CLE,67,1758
BOS,MKE,133,2090
MIA,SMF,122,4847
DCA,HNL,154,4708
LAX,HNL,29,2368
SMF,PHX,10,4308
LAX,JFK,69,4194
DTW,SAN,109,2561
ORD,DFW,172,747
PIT,CLE,50,4145
STL,FLL,64,4964
MIA,SEA,156,4841
IND,DTW,53,1357
SLC,ORD,67,4303
DCA,HNL,172,2800
PIT,CLT,66,3005
CLE,SEA,54,1354
MKE,PDX,158,1597
LAX,DEN,111,1889
PHX,PHL,79,2387
LAS,CLE,39,1105
PIT,JFK,174,2353
CVG,CMH,88,4118
DEN,SEA,164,1534
PIT,MSP,87,2182
FLL,BWI,55,455
STL,SJC,100,985
CLE,MSY,154,3060
SAN,FLL,29,2006
LAS,ORD,177,1652
STL,DTW,46,3329
IAH,HNL,98,2652
SAN,BWI,62,1648
MSP,MKE,74,4897
PDX,MSY,172,1076
BOS,MIA,101,3906
PHL,MSY,40,2546
PHL,PIT,155,3304
MIA,PDX,173,739
MKE,HNL,28,2161
MIA,PHL,128,4304
ATL,STL,120,1876
MSY,SEA,13,1356
RDU,SJC,38,276
PHL,AUS,43,847
PIT,SAN,92,1497
ATL,OAK,91,169
ATL,STL,70,1203
MIA,DTW,174,2468
LAX,OAK,120,151
CLE,SAN,49,2092
LAS,PDX,69,3200
MSY,CVG,55,604
IAH,SMF,81,1215
ORD,HNL,161,2243
CMH,OAK,178,896
MCO,RDU,58,2377
IND,LAX,89,2416
MIA,SJC,131,4339
SLC,PIT,163,1131
ATL,OAK,127,3260
TPA,JFK,138,712
SFO,CLT,122,1547
JFK,IAH,120,893
MSP,FLL,27,1242
BOS,AUS,63,433
DCA,IAH,86,2389
PDX,OAK,57,2911
CLT,OAK,54,3780
SEA,HNL,58,982
BOS,LAS,122,4224
SFO,MSP,99,3729
AUS,SEA,109,2837
PIT,BOS,96,605
MDW,DEN,17,1074
CVG,SMF,118,3808
MKE,IAH,164,4370
DEN,MDW,16,4717
DTW,BWI,62,1549
ATL,CLE,162,315
RDU,STL,99,3148
SAN,ATL,24,4124
PHL,HNL,62,3819
SAN,BOS,44,4426
LAX,SMF,6,4225
IAH,SEA,60,620
MSY,IAH,121,4848
BOS,HNL,17,3945
JFK,HNL,30,4737
RDU,FLL,92,2892
AUS,ORD,122,2788
PHL,SLC,103,1537
ATL,IAH,96,3855
PDX,HNL,16,3377
CLE,PHL,55,2720
BWI,MIA,78,2181
CLE,MSP,48,763
CLT,IAH,135,2552
PIT,CLT,42,3933
PHX,PHL,145,3697
SJC,BWI,76,307
RDU,PHL,35,1300
SEA,DTW,49,2935
BOS,HNL,92,1559
OAK,CVG,75,3521
LAX,PHX,144,3119
BOS,DFW,132,3404
AUS,BOS,132,4415
SEA,CLT,19,3237
CMH,ORD,84,4362
IAH,LAS,167,1115
DFW,STL,102,2910
CLT,MSY,37,172
LAS,BWI,152,4116
ORD,BWI,56,2725
LAX,MCO,149,4242
CLE,TPA,152,1648
MDW,PDX,99,2719
STL,IAH,118,1230
CVG,PHL,61,472
DFW,JFK,94,4504
DTW,SAN,95,2849
IND,RDU,85,3423
CLE,ATL,5,3674
SAN,SEA,121,4614
PHL,LAS,19,2783
DCA,ORD,98,918
MSY,LAS,45,300
PIT,JFK,132,583
SJC,MSP,151,3910
CVG,HNL,41,3944
SMF,SAN,56,3411
SEA,AUS,85,3446
CMH,IND,36,2487
ATL,SMF,172,1244
BOS,PIT,137,4889
PHL,MCO,62,507
DCA,MCO,155,2912
HNL,SJC,153,4530
PIT,SJC,167,4291
MSY,PIT,19,249
OAK,BOS,49,4694
BWI,MKE,152,1375
RDU,LAX,31,2263
PIT,SMF,134,293
ATL,TPA,6,424
DFW,PHL,48,271
SMF,CLE,176,820
MCO,SFO,133,1629
HNL,MSY,52,2452
